mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Frantic,Hope,Milo Goes to College,Descendents,1MPEPvmX18S9MK4RlMKIst,1982,48,120360,0.506,0.00169,0.903,0.0,0.336,0.781,-8.898,0.0455,117.229,2,4
Frantic,Seeing Red,First Two Seven Inches,Minor Threat,6Oo8wDuMdKq5KscPsP6sAL,1984-06-01,19,65093,0.33,0.00419,0.81,0.0569,0.0658,0.642,-7.014,0.142,168.73,2,4
Frantic,TV Party,Damaged,Black Flag,4DA95pyBe6QORPGvTEuMWQ,1981,47,211200,0.308,0.184,0.926,0.0,0.0782,0.193,-12.683,0.15,96.17,1,4
Frantic,Bad Attitude,Complete Vol. 1,Articles Of Faith,4FRXJv8ADNx0RHMyAldWQS,1995,29,156440,0.241,9.9e-05,0.98,0.178,0.282,0.507,-5.372,0.0568,90.381,11,4
Frantic,Sick Boy,City Baby Attacked by Rats,GBH,4w6R5BW7q2u06Cq9vA5Kn8,1982,0,152746,0.286,4.55e-05,0.972,0.00183,0.364,0.31,-5.031,0.127,152.667,11,4
Frantic,Tony Age,Milo Goes to College,Descendents,21Lumli0VsJglgAwLzzV56,1982,23,56400,0.327,5.45e-06,0.839,0.0286,0.105,0.922,-10.743,0.064,126.114,1,3
Frantic,We Must Bleed,GI,Germs,4nl8srnmBGjY4fU6bEIDF9,1979,31,185266,0.295,2.27e-05,0.968,0.502,0.371,0.256,-7.587,0.0731,108.991,11,4
Frantic,Loose Nut,Loose Nut,Black Flag,5v1QGhgPTKpSH6UBXZoieW,1985,28,276426,0.196,0.000613,0.827,0.0,0.728,0.524,-12.874,0.0534,180.818,0,4
Frantic,Go Nowhere,A Collection of Pop Classics,Reagan Youth,28CzlFHHxBf68YfOPqm8O2,1994-07-22,0,82106,0.433,0.000391,0.545,1.93e-05,0.116,0.709,-15.215,0.185,153.588,0,4
Frantic,Expectations,Can't Close My Eyes,Youth Of Today,3MrzEqmzUeju23ApoVq8lG,1988,19,128039,0.28,5.66e-05,0.933,0.483,0.278,0.5,-6.386,0.123,138.467,11,4
Frantic,Fuck School,Stink (Expanded),The Replacements,6sVMHE9DvY8OdIxGZ6ejv4,1982,25,86986,0.546,0.487,0.972,2.27e-05,0.292,0.0825,-8.139,0.068,104.244,7,4
Frantic,Bastard In Love,Loose Nut,Black Flag,13KxalwWSW679WuCjySI0n,1985,29,200306,0.43,0.00935,0.768,0.0,0.384,0.549,-11.685,0.101,158.842,11,4
Frantic,Wart Hog - 2002 Remaster,Greatest Hits,Ramones,6brX5IYzdEIfm1eFQtOZai,2006-06-05,30,114573,0.5,8.44e-05,0.972,0.158,0.736,0.889,-5.285,0.0395,104.359,10,4
Frantic,War Inside My Head,Join The Army,Suicidal Tendencies,03HL3jTzizrDNtPcmdPELp,1987,49,230640,0.356,0.00901,0.943,0.0,0.372,0.317,-9.191,0.0887,89.789,2,4
Frantic,Masochism World,Zen Arcade,Hüsker Dü,4sjryWLFLDNuenVFgyHamr,1984-01-01,23,167640,0.226,0.000614,0.986,0.0902,0.285,0.0563,-11.434,0.0886,99.164,5,4
Frantic,Circles,Can I Say,Dag Nasty,7EuYt3nnLOLKprkHdsOOX2,1986,22,166560,0.423,0.00132,0.829,6.86e-06,0.316,0.4,-5.999,0.0601,93.37,1,4
Frantic,I Want Some,Anthology: The Sounds Of Science,Beastie Boys,1JaEF8ofVVnVPj2UuD2r4N,1999-01-01,41,120266,0.223,2.94e-06,0.986,0.721,0.0733,0.516,-6.291,0.0884,175.741,2,4
