mood,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Exuberence,Everything's Good,Everything's Good,Phil Good,2LIPW0iUWjLTuOCnWRn840,2020-05-29,55,183150,0.878,0.497,0.777,1.91e-05,0.139,0.968,-4.241,0.0503,123.976,8,4
Exuberence,Come Around,Whatever USA,Hoodie Allen,2zkhW5YaOPPaPgNWXmjTjF,2019-08-16,60,166695,0.726,0.363,0.727,0.0,0.231,0.815,-4.919,0.0969,77.543,9,4
Exuberence,Sour Patch Kids,Lazy Fair,Bryce Vine,5DJNyvuMmZfsfvdTpMMmUq,2014-04-22,69,252546,0.523,0.0144,0.783,1.71e-05,0.219,0.581,-5.084,0.0545,76.588,9,4
Exuberence,I'm Not Alright,I'm Not Alright,Loud Luxury,7Ht0v0LWBCOEjmNQ0iMpNr,2019-07-12,44,185061,0.876,0.0812,0.856,1.29e-06,0.457,0.685,-3.884,0.0486,121.991,4,4
Exuberence,Kilby Girl,When We Were Friends,The Backseat Lovers,1170VohRSx6GwE6QDCHPPH,2019-01-27,79,282205,0.329,0.0578,0.444,0.0352,0.113,0.225,-9.973,0.0417,162.279,1,4
Exuberence,Davy Crochet,When We Were Friends,The Backseat Lovers,1w9B61OdLdnjzZIUYmy0bd,2019-01-27,56,176617,0.74,0.164,0.443,0.00193,0.108,0.619,-10.782,0.0369,123.967,0,4
Exuberence,Pursuit Of Happiness - Extended Steve Aoki Remix,Pursuit Of Happiness [Extended Steve Aoki Remix (Explicit)],Kid Cudi,5PX4uS1LqlWEPL69phPVQQ,2012-01-01,76,373626,0.722,0.00949,0.687,0.00413,0.0462,0.619,-5.189,0.0556,128.013,0,4
Exuberence,"Something to Rap About (feat. Tyler, The Creator)",Alfredo,Freddie Gibbs,5OkYfk72CNL8XLqa3gp9q7,2020-05-29,66,282560,0.406,0.469,0.524,3.95e-06,0.117,0.412,-11.071,0.255,56.046,5,4
Exuberence,Escape (The Pina Colada Song),'70s Pop #1's,Various Artists,79Dl8iYn0PFQG2wqDxPlQU,2007-01-01,57,276413,0.818,0.357,0.692,9.42e-06,0.127,0.934,-8.79,0.0529,139.695,0,4
Exuberence,Dancing in the Moonlight,Dancing In The Moonlight: The Best Of Toploader,Toploader,1FHNctV68GUNLgXclG2DtR,2009-04-22,68,233373,0.639,0.0528,0.845,0.0,0.336,0.871,-3.333,0.0372,119.48,0,4
Exuberence,Wake Me Up Before You Go-Go,Make It Big,Wham!,5XsMz0YfEaHZE0MTb1aujs,1984-10-23,0,230693,0.618,0.186,0.764,0.0,0.12,0.876,-6.027,0.0562,81.366,0,4
Exuberence,September,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",0eEncOnmSHqnm1sgXsjUSA,1978-11-23,0,215093,0.697,0.168,0.832,0.00131,0.269,0.979,-7.264,0.0298,125.926,9,4
Exuberence,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,05wIrZSwuaVWhcv5FfqeH0,1985,80,238733,0.596,0.0116,0.869,0.173,0.0678,0.944,-11.97,0.037,109.902,10,4
