name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,kmeans
Easily,A Song For Every Moon,Bruno Major,2k9N4caeCIJLOWwWwssrEM,2017-08-31,75,210240,0.772,0.491,0.256,0.00612,0.144,0.357,-8.545,0.0481,118.902,7,3,1
Running Away,Running Away,Genevieve Stokes,10wQ1DKIMOfJy6vFUc3ClF,2020-04-10,0,186706,0.432,0.947,0.256,7.15e-06,0.161,0.168,-9.95,0.0416,115.721,0,4,1
Zeus,Zeus,Croosh,0NbxvadJQOnlwk3cFbhDNV,2016-12-17,46,150622,0.889,0.413,0.324,0.0,0.09,0.577,-7.55,0.0468,110.041,5,4,1
Too Deep,SEPT 5TH,dvsn,3uSSjnDMmoyERaAK9KvpJR,2016-03-27,60,200223,0.616,0.284,0.243,0.149,0.264,0.56,-13.975,0.103,183.948,9,4,1
Good Love,Good Love,11:11,37YyskMNuGKjKwjifDaHzB,2017-06-13,39,266281,0.646,0.689,0.325,3.55e-06,0.084,0.321,-7.941,0.0311,127.894,11,4,1
Best Part (feat. H.E.R.),H.E.R.,H.E.R.,4OBZT9EnhYIV17t4pGw7ig,2017-10-20,73,209400,0.473,0.793,0.371,0.0,0.109,0.413,-10.219,0.0405,75.205,4,4,1
Make Luv,Make Luv,Brent Faiyaz,2CInzVilMduj9L8dDXwyUA,2018-02-09,62,193309,0.661,0.441,0.413,4.19e-05,0.114,0.276,-9.069,0.218,143.974,8,4,1
Stoop So Low,Stoop So Low,Alextbh,3DNsBFRbQWxygrn4UsqvTF,2016-11-07,49,197938,0.426,0.67,0.397,0.0,0.109,0.335,-9.089,0.0546,87.424,4,1,1
Late Night Drive,Late Night Drive,Yo Trane,0K83VVfg5Y4bPoZ4kmytKH,2016-04-19,53,252371,0.491,0.382,0.375,0.0,0.103,0.19,-10.031,0.2,97.116,6,4,1
Who Hurt You?,Who Hurt You?,Daniel Caesar,23c9gmiiv7RCu7twft0Mym,2018-10-16,69,231964,0.649,0.586,0.493,0.000167,0.0667,0.277,-7.645,0.11,104.542,11,4,1
Carry Me Home,Project 11,Jorja Smith,6fracv4du3sDwo1XKcPrkw,2016-11-17,58,282329,0.471,0.633,0.352,2.75e-05,0.115,0.102,-9.699,0.0391,118.333,2,3,1
Feel,Into,Sonder,1uverlfbbG8InEPioAwB8y,2017-01-27,54,232502,0.455,0.525,0.255,0.00176,0.382,0.195,-14.512,0.0377,131.959,6,4,1
Stay Down,Sonder Son,Brent Faiyaz,4mwiRPRAUSSFD6lJ86m98B,2017-10-13,61,207325,0.551,0.617,0.301,1.1e-05,0.136,0.488,-13.065,0.111,84.695,11,4,1
Been Away,Fuck The World,Brent Faiyaz,5PvVkf1Yuq3XyMqqjPiKPd,2020-02-07,71,223629,0.602,0.477,0.5,5.69e-05,0.295,0.395,-9.377,0.298,132.798,8,4,1
Rehab (Winter In Paris),Fuck The World,Brent Faiyaz,0zWbYGQq5O1KQd0iqzgjP6,2020-02-07,71,180303,0.549,0.809,0.242,8.1e-05,0.127,0.286,-11.692,0.038,144.211,5,4,1
Dead Man Walking,Dead Man Walking,Brent Faiyaz,5VlTQnZO89Ioku8ssdbqJk,2020-09-18,77,247079,0.505,0.279,0.267,0.0,0.096,0.439,-13.763,0.05,143.929,9,4,1
Biking,Biking,Frank Ocean,2q0VexHJirnUPnEOhr2DxK,2017-04-10,69,277520,0.673,0.681,0.463,4.9e-06,0.0907,0.268,-7.247,0.191,147.981,2,4,1
Gimme Love,Nectar,Joji,0HItcI6qN6Dr4MC3CZryQh,2020-09-25,73,214557,0.484,0.695,0.632,0.0243,0.209,0.0736,-6.917,0.0976,126.384,5,3,1
CPR,Last Day Of Summer,Summer Walker,5Tp4UJvnsF4Zd05k0zXUte,2018-10-19,63,203240,0.693,0.637,0.369,0.00335,0.0951,0.141,-12.683,0.175,140.148,7,4,1
Care,Into,Sonder,3tkxfORwPo2zydAf25YFOc,2017-01-27,56,164488,0.36,0.889,0.182,7.53e-06,0.117,0.098,-16.803,0.0388,126.721,10,3,1
Fuck The World (Summer in London),Fuck The World,Brent Faiyaz,2CzUlaKN1mvb0szagSR3ux,2020-02-07,72,236703,0.679,0.873,0.281,0.00335,0.215,0.234,-15.506,0.184,74.996,3,4,1
Mood,Morning After,dvsn,4L1eqdFY10yO7tMzvRp0sx,2017-10-13,51,215044,0.622,0.318,0.446,0.0135,0.0904,0.168,-9.647,0.22,68.85,9,4,1
Easy,Drive Slow,Mac Ayres,58dSdjfEYNSxte1aNVxuNf,2017-08-11,68,314357,0.722,0.373,0.282,0.00557,0.147,0.217,-7.484,0.106,91.367,5,4,1
White Ferrari,Blonde,Frank Ocean,2LMkwUfqC6S6s6qDVlEuzV,2016-08-20,77,248807,0.444,0.784,0.0924,0.0,0.304,0.219,-15.605,0.0366,108.917,0,4,1
Floating (feat. Khalid),The Color Of You,Alina Baraz,2vLWF4yFhTHQZVwrPTjH1s,2018-04-06,67,174489,0.66,0.81,0.447,2.15e-06,0.11,0.578,-9.026,0.0482,84.95,1,4,1
Heebiejeebies - Bonus,Good For You,Aminé,32xx0fAv3CIeGmNaWTHvEF,2017-07-28,64,220160,0.765,0.423,0.5,0.0,0.108,0.495,-7.626,0.152,107.043,1,4,1
Good News,Circles,Mac Miller,1DWZUa5Mzf2BwzpHtgbHPY,2020-01-17,75,342040,0.794,0.853,0.32,0.134,0.112,0.241,-12.92,0.173,174.088,1,4,1
Juno,Honeybloom,Choker,6OpU3cvY19M2hFxTbLKy5L,2018-08-03,59,231680,0.438,0.922,0.266,0.000298,0.148,0.116,-12.863,0.0363,120.075,7,4,1
Pretty Little Fears (feat. J. Cole),East Atlanta Love Letter,6LACK,4at3d5QWnlibMVN75ECDrp,2018-09-14,74,240341,0.61,0.696,0.458,0.000103,0.0852,0.246,-11.336,0.36,192.099,9,4,1
Honesty,PINK PLANET,Pink Sweat$,19gCnDoMbugHhF7eMpLpe1,2021-02-12,70,189000,0.66,0.964,0.139,1.1e-05,0.105,0.312,-16.339,0.0323,79.975,6,4,1
Morning,Groovy People,Marc E. Bassy,54Yappwod1fELR5zb2gDBn,2016-08-05,65,206080,0.462,0.563,0.438,0.0,0.181,0.342,-8.227,0.0953,107.364,10,3,1
Dirty Water,Groovy People,Marc E. Bassy,52rbzvOCmHgprzUaMqZEPK,2016-08-05,56,161106,0.666,0.404,0.408,0.00251,0.0316,0.474,-7.464,0.0393,92.01,1,4,1
ROS,GO:OD AM,Mac Miller,388jD8ko9cvFM9cd9TYDrl,2015-09-18,66,343213,0.535,0.601,0.448,0.0,0.376,0.284,-8.919,0.175,120.554,1,4,1
Edition,Edition,Rex Orange County,1wz7B02oOtrTW6SNLG0cSk,2017-09-12,62,115000,0.86,0.807,0.332,0.0,0.106,0.26,-10.263,0.22,140.949,1,4,1
North Face,Analogue,ODIE,63bAGRSSX2V1hhPSP2NpBC,2018-04-06,70,196799,0.802,0.792,0.382,0.163,0.0783,0.581,-7.356,0.0312,99.969,10,4,1
Gettin' Old,FREE 6LACK,6LACK,1S4sxNGmCASkyRI08YhLtT,2016-11-18,53,215000,0.743,0.4,0.4,0.000311,0.111,0.229,-12.369,0.0625,80.01,11,4,1
Seasons (feat. Khalid),East Atlanta Love Letter,6LACK,1AROE0XcC4ySCxXF65mutZ,2018-09-14,63,250001,0.6,0.692,0.319,0.00958,0.137,0.507,-10.272,0.294,141.96,0,4,1
Lens,Lens,Frank Ocean,371H6HjS4SXGbQ9IVfFUIL,2017-04-23,58,227654,0.681,0.588,0.333,0.0,0.086,0.564,-8.582,0.0974,118.05,9,4,1
West,Indigo,River Tiber,2R5GzHdM4xdA8HNLIF8lOY,2016-06-24,55,152250,0.265,0.899,0.473,0.078,0.226,0.143,-8.379,0.0447,120.909,8,3,1
Godspeed,Blonde,Frank Ocean,34xTFwjPQ1dC6uJmleno7x,2016-08-20,74,177922,0.421,0.931,0.0952,0.000201,0.126,0.0773,-12.561,0.0479,109.698,6,4,1
Postclubridehomemusic,Peder,Lido,1D1OGqiNpybJDsbFYSH5kc,2020-09-18,4,227040,0.671,0.349,0.361,1.08e-06,0.108,0.447,-11.764,0.236,76.95,11,4,1
Between the Lines (feat. Chris Lee),Free Pxrn: The Memoir of an American Heathen,Jase Harley,1zpLBaEx3KX98Cknyi9Ai1,2016-03-18,45,225228,0.838,0.429,0.374,0.0013,0.131,0.28,-11.991,0.112,120.013,0,4,1
Violet,Violet,Daniel Caesar,22jnEneSABg4vRCR1vow7F,2015-07-01,60,144000,0.688,0.748,0.425,0.00548,0.101,0.179,-8.134,0.027,129.975,4,4,1
Come Back to Earth,Swimming,Mac Miller,01z2fBGB8Hl3Jd3zXe4IXR,2018-08-03,73,161840,0.272,0.89,0.238,0.00925,0.275,0.119,-12.148,0.0349,83.507,2,4,1
My Favorite Part,The Divine Feminine,Mac Miller,66wkCYWlXzSTQAfnsPBptt,2016-09-16,73,216000,0.861,0.627,0.33,1.93e-06,0.14,0.718,-7.194,0.0526,95.016,6,4,1
Slow It Down,Slow It Down,Zaia,3xLXMPhcO310sEYPfXh4Ic,2017-04-21,32,206000,0.555,0.795,0.557,3.87e-05,0.121,0.346,-8.763,0.251,155.056,0,4,1
Ruby Red,S!ck S!ck S!ck,Smino,0E6GxVs1NLV9FxK9rK4K1G,2016-12-01,42,264125,0.568,0.507,0.515,0.0,0.0997,0.26,-9.212,0.474,126.819,5,4,1
Pisces,Found.,RIZ LA VIE,3HZsYrpRboqKdL3tOltQTi,2017-01-17,48,255929,0.708,0.763,0.38,0.0,0.123,0.217,-9.088,0.0948,113.1,3,4,1
Death & Taxes,Pilgrim's Paradise,Daniel Caesar,7HnkUNPrhRurdGEm9nRYFH,2015-11-12,59,305081,0.448,0.803,0.328,9.34e-05,0.347,0.209,-11.132,0.0351,113.941,7,3,1
CYANIDE,CASE STUDY 01,Daniel Caesar,3uouaAVXpQR3X8RYkJyitQ,2019-06-28,71,194959,0.589,0.704,0.652,0.00055,0.125,0.486,-7.498,0.373,158.49,10,4,1
Wild Irish Roses,blkswn,Smino,6efkcs2aUBMFKxl0cl2JWQ,2017-03-14,67,169319,0.639,0.554,0.295,3.09e-05,0.3,0.634,-11.237,0.544,86.947,0,4,1
Caretaker (feat. SZA),Gahdamn!,Shelley FKA DRAM,4XQQovRSltOGWevTCgacXY,2015-10-23,58,171373,0.614,0.78,0.275,0.0,0.119,0.165,-12.804,0.186,130.664,2,4,1
Amphetamine,blkswn,Smino,3Zau3JcrZcBfw8aVjKGkSX,2017-03-14,63,469830,0.619,0.715,0.532,1.33e-05,0.0953,0.401,-9.554,0.515,120.019,5,4,1
Here (feat. Xavier Omär),Free Your Soul: Side A (Deluxe Version),Asaiah Ziv,5oy4VFaAESEx7z45Oy0eXE,2016-06-09,37,196650,0.495,0.556,0.577,0.0,0.172,0.439,-6.097,0.879,192.021,9,4,1
Take Me Away (feat. Syd),Freudian,Daniel Caesar,3E895HtTn6lB40SA0l9EkL,2017-08-25,60,226116,0.395,0.708,0.409,1.62e-05,0.0982,0.193,-8.58,0.056,74.088,6,4,1
All the Time,All the Time,Souly Had,6fnogme1RNJKay9aCJNJaa,2017-02-22,51,177855,0.589,0.322,0.313,0.0,0.105,0.0905,-10.001,0.137,164.573,0,3,1
Lock It Up (feat. Kehlani),"Only The Poets Mixtape, Vol. 1",Marc E. Bassy,6uT9XRrPvimLt62FNjMNBv,2014-07-29,46,226220,0.738,0.653,0.443,0.0,0.103,0.687,-9.614,0.0707,127.084,5,4,1
Lush,Peak,Choker,4vZcsZnmpZ0GAISQon0TvU,2017-05-06,31,324000,0.445,0.954,0.322,0.0,0.0975,0.275,-11.016,0.0624,69.442,8,4,1
Netflix & Dusse,blkswn,Smino,4hP7NIeToP2hU6lyvIHPyp,2017-03-14,53,259338,0.729,0.441,0.329,0.0,0.32,0.159,-9.703,0.529,79.958,7,4,1
Stay,The Divine Feminine,Mac Miller,4brX8MJs5hxErgq48f9REO,2016-09-16,66,326426,0.742,0.566,0.561,0.000135,0.641,0.55,-7.017,0.139,134.01,6,4,1
Moonlight in Atlanta,Moonlight in Atlanta,Russ,4vzV11MKDc82D9r1YV61MQ,2016-01-15,59,163500,0.514,0.891,0.32,0.0,0.0977,0.236,-9.669,0.144,76.916,9,4,1
Herside Story,At What Cost,GoldLink,564oa00vY05d1uYnTEAAmE,2017-03-24,63,183760,0.885,0.656,0.595,4.42e-06,0.105,0.754,-5.487,0.286,148.034,7,4,1
To the Moon,Yours Truly Forever,Phora,6Umac95Mt46VcwAM9s9mOa,2017-08-18,63,252320,0.54,0.624,0.572,0.0,0.14,0.43,-8.665,0.115,82.562,9,3,1
The Need to Know (feat. SZA),The Album About Nothing,Wale,6KacmqPPQ3LNoiGFuqGChs,2015-03-31,65,216831,0.537,0.487,0.411,9.21e-06,0.3,0.207,-14.059,0.502,94.292,7,4,1
Good Days,Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,2020-12-25,83,279204,0.436,0.499,0.655,8.1e-06,0.688,0.412,-8.37,0.0583,121.002,1,4,1
Sheba With Angel Mae,Preacher's Son,YGTUT,4FwWyejS6KrYsKFxRtweHz,2015-05-02,38,137196,0.712,0.597,0.351,1.85e-06,0.132,0.358,-14.047,0.389,129.928,11,4,1
Navy Blue,Navy Blue,HASANI,4CAFjRhubtiR8M3z4qbc2W,2016-11-08,50,163801,0.56,0.649,0.295,3.41e-05,0.112,0.246,-14.843,0.242,130.399,11,4,1
She Knows About Me,Waking at Dawn,Roy Woods,2bxG0N7YsdkIBfuLsE0J8i,2016-07-01,50,220408,0.445,0.751,0.541,0.0,0.199,0.377,-7.407,0.0816,81.656,9,4,1
Could've Been (feat. Bryson Tiller),I Used To Know Her,H.E.R.,6oEVnWKgPqIEPc53OYDNqG,2019-08-30,75,252746,0.45,0.649,0.352,3.8e-06,0.249,0.408,-11.733,0.267,102.679,1,4,1
"Yo Love - From ""Queen & Slim: The Soundtrack""","Yo Love (From ""Queen & Slim: The Soundtrack"")",Vince Staples,3Vj8RQkFwOmDvUrwu6MtQZ,2019-11-11,66,143830,0.703,0.565,0.573,3.13e-06,0.0987,0.491,-9.032,0.0724,147.038,0,4,1
Could've Been (feat. Bryson Tiller),I Used To Know Her,H.E.R.,6oEVnWKgPqIEPc53OYDNqG,2019-08-30,75,252746,0.45,0.649,0.352,3.8e-06,0.249,0.408,-11.733,0.267,102.679,1,4,1
Smoke,Daughter of the Sun,vbnd,3KdqW7vrStW0VIp1Pfk0cq,2018-07-06,47,222115,0.861,0.457,0.125,0.421,0.101,0.4,-16.482,0.0708,78.036,0,4,1
White (feat. Frank Ocean),The OF Tape Vol. 2,Odd Future,2gEmgpnxseKEVRTwkSGopN,2012-03-16,63,122933,0.51,0.744,0.0671,0.0,0.166,0.197,-12.163,0.0689,106.017,3,3,1
Priorities,B4 the Heartbreak,Sy Ari Da Kid,7KKSmSsR1Giz5nFrlelbd9,2016-02-04,45,341974,0.488,0.795,0.169,0.0,0.0968,0.208,-15.681,0.0771,93.76,4,4,1
Every Kind Of Way,H.E.R. Volume 2,H.E.R.,71AaGUlQ7I5dRgDEQpdnI4,2017-06-16,59,160160,0.45,0.634,0.3,3.1e-06,0.142,0.207,-9.53,0.0477,96.394,7,4,1
Invite Me,Invite Me,Brent Faiyaz,1nzbFLItWk2ZXrx8jvTmdZ,2016-06-01,54,194552,0.498,0.579,0.449,0.0,0.191,0.256,-7.492,0.038,127.827,9,4,1
Lemonade,Lemonade,Iris Temple,5k1GDTtLb52VPdf2xGwxz7,2016-12-01,40,240000,0.559,0.682,0.298,0.000457,0.128,0.434,-12.918,0.173,118.576,2,4,1
Patiently,Whatever Makes U Happy,JMSN,3o9yzDhGVqfjUZHvcvA6oF,2017-04-28,38,224080,0.721,0.479,0.296,1.39e-05,0.108,0.18,-9.869,0.0398,110.063,2,3,1
All Bad,The Never Story,JID,0G6ExlA2fcJIDGoayswUNT,2017-03-10,55,291760,0.538,0.854,0.238,0.0482,0.11,0.507,-14.541,0.316,78.881,11,1,1
I KNO V3,I KNO V3,Victor Internet,4S8vtRJ78uTUGvTZF3dEmR,2019-12-13,40,148645,0.851,0.495,0.533,1.12e-05,0.108,0.602,-6.462,0.262,77.499,9,4,1
Killing Me,Killing Me,Omar Apollo,1vghSeMBb7AIMT3JaMrlHO,2022-03-11,40,165320,0.861,0.301,0.27,0.00288,0.124,0.608,-9.515,0.0616,84.004,6,4,1
What You Heard,What You Heard,Sonder,3a3dQOO19moXPeTt2PomoT,2019-02-22,72,238242,0.429,0.546,0.371,5.71e-06,0.104,0.135,-9.017,0.0327,137.134,2,4,1
Yours,Yours,SG Lewis,7uNWZOCm6TphuTnwpDUUjN,2016-05-23,46,230540,0.68,0.549,0.241,2.54e-05,0.222,0.211,-11.448,0.247,127.908,6,4,1
Don't Beg,Foreign Water,JAHKOY,0H0vPgfSGvt3g4X4Fnmr2N,2016-10-28,35,176346,0.441,0.406,0.365,0.000218,0.101,0.077,-10.002,0.0514,79.782,6,4,1
Lovely,Into,Sonder,1c2wTe7doRRk2n1XZe0KAM,2017-01-27,54,291448,0.506,0.581,0.503,0.000534,0.628,0.133,-9.003,0.0468,144.015,8,3,1
The Ocean With My Friends,The Ocean With My Friends,Dre'es,6GhUYUEddpxoxWF2pU2QY9,2018-09-19,42,172059,0.377,0.894,0.277,0.119,0.145,0.0701,-16.897,0.0467,164.262,2,4,1
Candy Wrappers,So Polite,Summer Salt,2WrzwxqDxBWcWYkk9DAJ9j,2017-07-18,58,194418,0.691,0.696,0.546,0.415,0.302,0.483,-7.33,0.0263,95.047,5,4,1
