mood,danceability,acousticness,energy,liveness,valence,loudness
1,0.587,0.92,0.229,0.1,0.379,-11.254
1,0.626,0.051,0.55,0.118,0.123,-5.105
1,0.583,0.933,0.075,0.111,0.347,-15.843
1,0.549,0.783,0.368,0.322,0.494,-7.349
1,0.464,0.866,0.473,0.109,0.604,-10.086
1,0.714,0.697,0.434,0.0919,0.352,-11.542
1,0.666,0.494,0.423,0.106,0.154,-8.012
1,0.728,0.621,0.563,0.179,0.352,-8.053
1,0.367,0.895,0.538,0.149,0.274,-5.121
1,0.371,0.57,0.341,0.101,0.196,-9.475
1,0.638,0.188,0.656,0.146,0.225,-5.886
1,0.586,0.963,0.128,0.0858,0.371,-9.297
1,0.459,0.604,0.575,0.0885,0.183,-4.858
1,0.467,0.974,0.157,0.0816,0.277,-9.649
1,0.546,0.987,0.155,0.18,0.512,-14.378
1,0.661,0.452,0.346,0.131,0.256,-9.115
1,0.513,0.913,0.25,0.117,0.351,-9.376
1,0.481,0.8,0.267,0.249,0.137,-9.249
1,0.398,0.805,0.316,0.295,0.174,-7.031
1,0.451,0.473,0.507,0.108,0.564,-6.24
1,0.708,0.868,0.186,0.0779,0.322,-8.953
1,0.509,0.0717,0.637,0.0789,0.378,-4.83
1,0.66,0.267,0.357,0.0857,0.518,-8.55
1,0.618,0.469,0.443,0.0829,0.167,-9.681
1,0.63,0.611,0.5,0.114,0.315,-8.755
1,0.551,0.705,0.537,0.0802,0.493,-7.595
1,0.477,0.928,0.128,0.0875,0.38,-14.567
1,0.677,0.712,0.401,0.116,0.195,-8.467
1,0.418,0.954,0.248,0.108,0.298,-9.997
1,0.357,0.584,0.425,0.322,0.27,-7.301
1,0.505,0.799,0.591,0.174,0.39,-8.397
1,0.669,0.883,0.308,0.0984,0.52,-10.068
1,0.553,0.299,0.502,0.764,0.296,-5.972
1,0.696,0.308,0.543,0.0939,0.479,-6.164
1,0.585,0.721,0.436,0.105,0.132,-8.761
1,0.319,0.935,0.0561,0.388,0.082,-23.023
1,0.444,0.844,0.21,0.0956,0.306,-10.811
1,0.565,0.781,0.245,0.0998,0.307,-9.132
1,0.62,0.801,0.288,0.37,0.691,-9.431
1,0.525,0.658,0.439,0.0636,0.238,-6.596
1,0.461,0.17,0.593,0.307,0.175,-4.954
1,0.567,0.87,0.395,0.106,0.329,-5.568
1,0.505,0.576,0.34,0.21,0.0916,-9.005
1,0.459,0.604,0.575,0.0885,0.183,-4.858
1,0.604,0.578,0.366,0.133,0.13,-7.519
1,0.332,0.845,0.214,0.0839,0.11,-12.518
